,P1,0.44469137172229606,,,,P2,0.44424690262216304,,,,P3,0.11106172565554079,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
Structure Term Similarity: x0,0.0,0.026487622017766776,0.0,0.032603308952565246,0.026487622017766776,0.09999999999999998,0.1418938514166993,1.0,0.03815833515232067,0.29751360806449634,0.0,-0.21089712379785142,0.0,-0.10233690009812142,-0.21089712379785142,0.04442469026221629
Structure Term Similarity: x1,0.0,-0.006259870820071178,0.0,-0.00014418388527270842,-0.006259870820071178,0.09999999999999998,0.10526189778065531,1.0,0.0015263815162766814,0.26088165442845235,0.0,-0.0531839685854667,0.0,0.05537625511426329,-0.0531839685854667,0.04442469026221629
Structure Term Similarity: x2,0.0,-0.01965506866311051,0.0,-0.013539381728312039,-0.01965506866311051,0.0,0.1006709346984378,1.0,-0.0030645815659408326,0.25629069134623483,0.0,-0.14284217948344824,0.0,-0.034281955783718246,-0.14284217948344824,0.0
Structure Term Similarity: x3,0.0,-0.01797870748567032,0.0,-0.01186302055087185,-0.01797870748567032,0.09999999999999998,0.13208124192705317,1.0,0.028345725662674542,0.2877009985748502,0.0,-0.1535322850793761,0.0,-0.044972061379646114,-0.1535322850793761,0.04442469026221629
Structure Term Similarity: x4,0.0,-0.01928809665770559,0.0,-0.013172409722907119,-0.01928809665770559,0.09999999999999998,0.14250517176342625,1.0,0.03876965549904762,0.2981249284112233,0.0,-0.09090578525223747,0.0,0.017654438447492524,-0.09090578525223747,0.04442469026221629
Structure Term Similarity: x5,0.0,0.0215765690040276,0.0,0,0.0215765690040276,0.09999999999999998,0.04559097572968085,0.0,0,0.18664828015657542,0.0,-0.03422783389137407,0.0,0,-0.03422783389137407,0.04442469026221629
IoU Similarity: x0,0.0,0.0005896913911417334,0.0,0.0038341982632155713,0.0005896913911417334,0.0,0.021669378716179688,0.0,0.004338229949329253,0.0928776099384061,0.0,-0.02420732519551816,0.0,-0.007036463879457482,-0.02420732519551816,0.0
IoU Similarity: x1,0.0,-0.0016353732465552717,0.0,0.0016091336255185662,-0.0016353732465552717,0.0,0.022764061357457344,0.0,0.005432912590606909,0.09756955374974474,0.0,-0.017159972377673305,0.0,1.0888938387371844e-05,-0.017159972377673305,0.0
IoU Similarity: x2,0.0,-0.00665658027607563,0.0,-0.003412073404001792,-0.00665658027607563,0.0,0.021422044350074,0.0,0.004090895583223564,0.09181750456665538,0.0,-0.02610068013931932,0.0,-0.008929818823258644,-0.02610068013931932,0.0
IoU Similarity: x3,0.0,-0.004693935366329338,0.0,-0.0014494284942555002,-0.004693935366329338,0.0,0.02487662052283146,0.0,0.007545471755981026,0.10662424095159362,0.0,-0.024960226271123487,0.0,-0.00778936495506281,-0.024960226271123487,0.0
IoU Similarity: x4,0.0,-0.007070843734624521,0.0,-0.0038263368625506833,-0.007070843734624521,0.0,0.013254787654560118,0.0,-0.0040763611122903165,0.05681164253580784,0.0,-0.010596963912729795,0.0,0.006573897403330881,-0.010596963912729795,0.0
IoU Similarity: x5,0.0,0.0011032513108670816,0.0,0,0.0011032513108670816,0.0,0.012702023530282491,0.0,0,0.054442427829883844,0.0,-0.015771777532984976,0.0,0,-0.015771777532984976,0.0
Contour Match Similarity: x0,0.0,9.535949051953097e-05,0.0,0.00042004148631432275,9.535949051953097e-05,0.0,0.0009342965034880857,0.0,-0.0007916731095064522,0.0038936374069376,0.0,-0.0035513088041497776,0.0,-0.00022096460340788803,-0.0035513088041497776,0.0
Contour Match Similarity: x1,0.0,-0.00017000068000705415,0.0,0.00015468131578773764,-0.00017000068000705415,0.0,0.004477346883018374,0.0,0.002751377270023836,0.019064196113088405,0.0,-0.002521841736658148,0.0,0.0008085024640837415,-0.002521841736658148,0.0
Contour Match Similarity: x2,0.0,-0.00046454526665618,0.0,-0.00013986327086138822,-0.00046454526665618,0.0,0.0017276964616022017,0.0,1.7268486076638112e-06,0.007306428880078597,0.0,-0.006891000634144495,0.0,-0.0035606564334026056,-0.006891000634144495,0.0
Contour Match Similarity: x3,0.0,-0.0003893308265139339,0.0,-6.464883071914212e-05,-0.0003893308265139339,0.0,0.0024676975735377082,0.0,0.0007417279605431704,0.010475561724697213,0.0,-0.006283937981579779,0.0,-0.0029535937808378896,-0.006283937981579779,0.0
Contour Match Similarity: x4,0.0,-0.0010195746921111137,0.0,-0.000694892696316322,-0.0010195746921111137,0.0,0.0007487802563208579,0.0,-0.00097718935667368,0.0030091173337085664,0.0,-0.0007339760479191382,0.0,0.0025963681528227514,-0.0007339760479191382,0.0
Contour Match Similarity: x5,0.0,-2.7814640941703495e-05,0.0,0,-2.7814640941703495e-05,0.0,0.0017255371117493867,0.0,0,0.007258869682363445,0.0,-0.0014369950769390627,0.0,0,-0.0014369950769390627,0.0
